134123123;Антоновка;яблоко;зеленое;70;ООО Агрофирма;10.10.22;45;1/2/3/4
0;440cda3e-2187-4d0a-a731-8a3043321f4b;Fulmer;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;police officer;1;1;1
1;41ed7efd-5566-43ef-9b54-3e3a10a14d4c;Mullane;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;firefighter;2;2;2
2;dba338b9-8e4c-4977-b6c8-7f3c2780e128;Persse;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;police officer;3;3;3
3;c469d7c4-f548-4cb8-b02f-bf588730eeb6;Rillings;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;worker;4;4;4
4;c223cf56-2edd-4414-8424-eab58d980024;Alva;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;worker;5;5;5
5;a2e1098b-c626-409a-8f96-8a3a7545b178;Pozzy;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;police officer;6;6;6
6;306e3154-f7d9-464a-85bd-6271e54d9ac1;Colp;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;doctor;7;7;7
7;3e522bd7-7d07-45f8-a002-0688bf0e385e;Girardo;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;doctor;8;8;8
8;a0f5a38b-8ba4-406b-9555-2407f3379d85;Pierette;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;police officer;9;9;9
9;ed723464-cd94-4c1b-9667-0f3fadf7aac6;Michella;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;worker;10;10;10
10;2e6878d1-6c12-46f4-882d-0c38a0acd1bd;Raychel;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;doctor;11;11;11
11;7fc32858-4c33-4536-b25e-a28045f4d02d;Carleen;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;firefighter;12;12;12
12;063e67bd-6ac5-415b-b735-2baa5027a761;Clywd;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;developer;13;13;13
13;7991e83a-01fd-4d00-9ee4-4c69d372ef88;Alcott;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;doctor;14;14;14
14;1d68f743-5e37-417a-8b27-4c4416b1f645;Sinegold;{{firstname}}.{{lastname}}@yopmail.com;undefined.undefined@gmail.com;police officer;15;15;15
567893234;Дюшес;груша;отечественная;75;ООО Агрофирма;05.10.22;30;1/10/3/4
